"sample_size","effect_alien","joint_detection"
150,0,0
150,0.05,0.01
150,0.1,0.02
150,0.15,0.03
150,0.2,0.03
150,0.25,0.02
150,0.3,0.02
165,0,0.01
165,0.05,0.01
165,0.1,0.02
165,0.15,0.02
165,0.2,0.03
165,0.25,0.02
165,0.3,0.02
180,0,0.01
180,0.05,0.01
180,0.1,0.02
180,0.15,0.02
180,0.2,0.03
180,0.25,0.03
180,0.3,0.03
195,0,0
195,0.05,0.01
195,0.1,0.02
195,0.15,0.02
195,0.2,0.03
195,0.25,0.02
195,0.3,0.03
210,0,0.01
210,0.05,0.01
210,0.1,0.02
210,0.15,0.02
210,0.2,0.02
210,0.25,0.03
210,0.3,0.03
225,0,0
225,0.05,0.01
225,0.1,0.02
225,0.15,0.03
225,0.2,0.03
225,0.25,0.03
225,0.3,0.02
